"topic","module","moduleId","sourceSections","conceptCards","mcqs","recallPrompts","formulas","formulaPrompts","source","pdfPages","coverage"
"Corporate Issuers","Organizational Forms, Corporate Issuer Features, and Ownership","v3-m1","19","1","5","1","0","0","cfa-program2026L1V3.pdf","11-44","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Corporate Issuers","Investors and Other Stakeholders","v3-m2","19","1","5","1","0","0","cfa-program2026L1V3.pdf","45-74","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Corporate Issuers","Corporate Governance: Conflicts, Mechanisms, Risks, and Benefits","v3-m3","17","1","5","1","0","0","cfa-program2026L1V3.pdf","75-104","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Corporate Issuers","Working Capital and Liquidity","v3-m4","10","1","10","1","1","1","cfa-program2026L1V3.pdf","105-142","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Corporate Issuers","Capital Investments and Capital Allocation","v3-m5","14","1","10","1","1","1","cfa-program2026L1V3.pdf","143-180","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Corporate Issuers","Capital Structure","v3-m6","14","1","10","1","1","1","cfa-program2026L1V3.pdf","181-220","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Corporate Issuers","Business Models","v3-m7","11","1","5","1","0","0","cfa-program2026L1V3.pdf","221-250","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Financial Statement Analysis","Introduction to Financial Statement Analysis","v4-m1","22","1","5","1","0","0","cfa-program2026L1V4.pdf","15-48","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Financial Statement Analysis","Analyzing Income Statements","v4-m2","27","1","10","1","1","1","cfa-program2026L1V4.pdf","49-102","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Financial Statement Analysis","Analyzing Balance Sheets","v4-m3","12","1","5","1","0","0","cfa-program2026L1V4.pdf","103-134","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Financial Statement Analysis","Analyzing Statements of Cash Flows I","v4-m4","17","1","5","1","0","0","cfa-program2026L1V4.pdf","135-166","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Financial Statement Analysis","Analyzing Statements of Cash Flows II","v4-m5","5","1","10","1","1","1","cfa-program2026L1V4.pdf","167-184","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Financial Statement Analysis","Analysis of Inventories","v4-m6","6","1","5","1","0","0","cfa-program2026L1V4.pdf","185-220","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Financial Statement Analysis","Analysis of Long-Term Assets","v4-m7","14","1","5","1","0","0","cfa-program2026L1V4.pdf","221-252","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Financial Statement Analysis","Topics in Long-Term Liabilities and Equity","v4-m8","28","1","5","1","0","0","cfa-program2026L1V4.pdf","253-288","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Financial Statement Analysis","Analysis of Income Taxes","v4-m9","11","1","5","1","0","0","cfa-program2026L1V4.pdf","289-322","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Financial Statement Analysis","Financial Reporting Quality","v4-m10","30","1","5","1","0","0","cfa-program2026L1V4.pdf","323-392","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Financial Statement Analysis","Financial Analysis Techniques","v4-m11","35","1","10","1","1","1","cfa-program2026L1V4.pdf","393-458","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Financial Statement Analysis","Introduction to Financial Statement Modeling","v4-m12","30","1","5","1","0","0","cfa-program2026L1V4.pdf","459-516","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Equity Investments","Market Organization and Structure","v5-m1","48","1","5","1","0","0","cfa-program2026L1V5.pdf","13-90","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Equity Investments","Security Market Indexes","v5-m2","29","1","5","1","0","0","cfa-program2026L1V5.pdf","91-132","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Equity Investments","Market Efficiency","v5-m3","35","1","5","1","0","0","cfa-program2026L1V5.pdf","133-168","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Equity Investments","Overview of Equity Securities","v5-m4","16","1","5","1","0","0","cfa-program2026L1V5.pdf","169-206","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Equity Investments","Company Analysis: Past and Present","v5-m5","15","1","5","1","0","0","cfa-program2026L1V5.pdf","207-254","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Equity Investments","Industry and Competitive Analysis","v5-m6","19","1","5","1","0","0","cfa-program2026L1V5.pdf","255-294","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Equity Investments","Company Analysis: Forecasting","v5-m7","15","1","5","1","0","0","cfa-program2026L1V5.pdf","295-344","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Equity Investments","Equity Valuation: Concepts and Basic Tools","v5-m8","16","1","10","1","1","1","cfa-program2026L1V5.pdf","345-398","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Fixed Income","Fixed-Income Instrument Features","v6-m1","14","1","5","1","0","0","cfa-program2026L1V6.pdf","13-32","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Fixed Income","Fixed-Income Cash Flows and Types","v6-m2","13","1","5","1","0","0","cfa-program2026L1V6.pdf","33-64","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Fixed Income","Fixed-Income Issuance and Trading","v6-m3","6","1","5","1","0","0","cfa-program2026L1V6.pdf","65-88","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Fixed Income","Fixed-Income Markets for Corporate Issuers","v6-m4","11","1","5","1","0","0","cfa-program2026L1V6.pdf","89-116","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Fixed Income","Fixed-Income Markets for Government Issuers","v6-m5","7","1","5","1","0","0","cfa-program2026L1V6.pdf","117-136","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Fixed Income","Fixed-Income Bond Valuation: Prices and Yields","v6-m6","13","1","10","1","1","1","cfa-program2026L1V6.pdf","137-166","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Fixed Income","Yield and Yield Spread Measures for Fixed-Rate Bonds","v6-m7","8","1","5","1","0","0","cfa-program2026L1V6.pdf","167-196","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Fixed Income","Yield and Yield Spread Measures for Floating-Rate Instruments","v6-m8","4","1","5","1","0","0","cfa-program2026L1V6.pdf","197-220","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Fixed Income","The Term Structure of Interest Rates: Spot, Par, and Forward Curves","v6-m9","9","1","10","1","1","1","cfa-program2026L1V6.pdf","221-248","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Fixed Income","Interest Rate Risk and Return","v6-m10","4","1","5","1","0","0","cfa-program2026L1V6.pdf","249-276","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Fixed Income","Yield-Based Bond Duration Measures and Properties","v6-m11","7","1","10","1","1","1","cfa-program2026L1V6.pdf","277-306","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Fixed Income","Yield-Based Bond Convexity and Portfolio Properties","v6-m12","4","1","10","1","1","1","cfa-program2026L1V6.pdf","307-330","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Fixed Income","Curve-Based and Empirical Fixed-Income Risk Measures","v6-m13","5","1","5","1","0","0","cfa-program2026L1V6.pdf","331-354","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Fixed Income","Credit Risk","v6-m14","12","1","10","1","1","1","cfa-program2026L1V6.pdf","355-392","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Fixed Income","Credit Analysis for Government Issuers","v6-m15","10","1","5","1","0","0","cfa-program2026L1V6.pdf","393-420","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Fixed Income","Credit Analysis for Corporate Issuers","v6-m16","9","1","10","1","1","1","cfa-program2026L1V6.pdf","421-452","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Fixed Income","Fixed-Income Securitization","v6-m17","9","1","5","1","0","0","cfa-program2026L1V6.pdf","453-474","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Fixed Income","Asset-Backed Security (ABS) Instrument and Market Features","v6-m18","10","1","5","1","0","0","cfa-program2026L1V6.pdf","475-506","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Fixed Income","Mortgage-Backed Security (MBS) Instrument and Market Features","v6-m19","13","1","5","1","0","0","cfa-program2026L1V6.pdf","507-546","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Derivatives","Derivative Instrument and Derivative Market Features","v7-m1","16","1","5","1","0","0","cfa-program2026L1V7.pdf","11-30","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Derivatives","Forward Commitment and Contingent Claim Features and Instruments","v7-m2","9","1","10","1","1","1","cfa-program2026L1V7.pdf","31-60","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Derivatives","Derivative Benefits, Risks, and Issuer and Investor Uses","v7-m3","5","1","5","1","0","0","cfa-program2026L1V7.pdf","61-84","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Derivatives","Arbitrage, Replication, and the Cost of Carry in Pricing Derivatives","v7-m4","4","1","10","1","1","1","cfa-program2026L1V7.pdf","85-106","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Derivatives","Pricing and Valuation of Forward Contracts and for an Underlying with Varying Maturities","v7-m5","6","1","5","1","0","0","cfa-program2026L1V7.pdf","107-136","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Derivatives","Pricing and Valuation of Futures Contracts","v7-m6","7","1","5","1","0","0","cfa-program2026L1V7.pdf","137-156","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Derivatives","Pricing and Valuation of Interest Rates and Other Swaps","v7-m7","3","1","5","1","0","0","cfa-program2026L1V7.pdf","157-178","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Derivatives","Pricing and Valuation of Options","v7-m8","14","1","5","1","0","0","cfa-program2026L1V7.pdf","179-204","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Derivatives","Option Replication Using Put–Call Parity","v7-m9","6","1","10","1","1","1","cfa-program2026L1V7.pdf","205-226","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Derivatives","Valuing a Derivative Using a One-Period Binomial Model","v7-m10","5","1","5","1","1","1","cfa-program2026L1V7.pdf","227-246","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Alternative Investments","Alternative Investment Features, Methods, and Structures","v8-m1","15","1","5","1","0","0","cfa-program2026L1V8.pdf","11-40","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Alternative Investments","Alternative Investment Performance and Returns","v8-m2","9","1","5","1","0","0","cfa-program2026L1V8.pdf","41-72","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Alternative Investments","Investments in Private Capital: Equity and Debt","v8-m3","9","1","5","1","0","0","cfa-program2026L1V8.pdf","73-100","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Alternative Investments","Real Estate and Infrastructure","v8-m4","11","1","10","1","1","1","cfa-program2026L1V8.pdf","101-128","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Alternative Investments","Natural Resources","v8-m5","12","1","5","1","0","0","cfa-program2026L1V8.pdf","129-154","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Alternative Investments","Hedge Funds","v8-m6","13","1","5","1","0","0","cfa-program2026L1V8.pdf","155-186","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Alternative Investments","Introduction to Digital Assets","v8-m7","15","1","5","1","0","0","cfa-program2026L1V8.pdf","187-220","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Portfolio Management","Portfolio Risk and Return: Part I","v9-m1","33","1","5","1","0","0","cfa-program2026L1V9.pdf","13-70","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Portfolio Management","Portfolio Risk and Return: Part II","v9-m2","36","1","10","1","1","1","cfa-program2026L1V9.pdf","71-130","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Portfolio Management","Portfolio Management: An Overview","v9-m3","31","1","5","1","0","0","cfa-program2026L1V9.pdf","131-168","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Portfolio Management","Basics of Portfolio Planning and Construction","v9-m4","20","1","5","1","0","0","cfa-program2026L1V9.pdf","169-212","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Portfolio Management","The Behavioral Biases of Individuals","v9-m5","18","1","5","1","0","0","cfa-program2026L1V9.pdf","213-248","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Portfolio Management","Introduction to Risk Management","v9-m6","21","1","5","1","0","0","cfa-program2026L1V9.pdf","249-300","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Ethical and Professional Standards","Ethics and Trust in the Investment Profession","v10-m1","15","1","5","1","0","0","cfa-program2026L1V10.pdf","17-46","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Ethical and Professional Standards","Code of Ethics and Standards of Professional Conduct","v10-m2","14","1","5","1","0","0","cfa-program2026L1V10.pdf","47-66","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Ethical and Professional Standards","Guidance for Standards I–VII","v10-m3","347","7","35","7","0","0","cfa-program2026L1V10.pdf","67-254","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Ethical and Professional Standards","Introduction to the Global Investment Performance Standards (GIPS)","v10-m4","7","1","5","1","0","0","cfa-program2026L1V10.pdf","255-264","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
"Ethical and Professional Standards","Ethics Application","v10-m5","31","1","5","1","0","0","cfa-program2026L1V10.pdf","265-302","Beginner briefing plus foundation lesson; exhaustive LOS authoring remains in progress"
